Type;Navn;Forkortet navn;Adm. område
Enhed;Campusadministration Frederiksberg+;CA FRBPLUS;NA
Enhed;Campusadministration Nørre;CA NØRRE;NA
Enhed;Campusadministration Søndre;CA SØNDRE;NA
Enhed;KU Bygninger;KU BYG;Bygningsservice
Enhed;KU Forskning og Informationssikkerhed;KU F&I;Forskningsadministration
Enhed;KU HR;KU HR;HR
Enhed;KU IT;KU IT;IT
Enhed;KU Innovation og Erhvervssamarbejde;KU I&E;Innovationsadministration
Enhed;KU Kommunikation;KU KOM;Kommunikation
Enhed;KU Uddannelse;KU UDD;Uddannelsesadministration
Enhed;KU Økonomi;KU ØKO;Økonomi
Enhed;Rektoratets stab;KU REKSTAB;Stabe
Kontor;Analyse og Business Intelligence;ABI;Stabe
Kontor;Byggeri;BYGGERI;Bygningsservice
Kontor;Bygninger Frederiksberg+;BYG FRBPLUS;Bygningsservice
Kontor;Bygninger Nørre;BYG NØRRE;Bygningsservice
Kontor;Bygninger Søndre;BYG SØNDRE;Bygningsservice
Kontor;Campusadministration Frederiksberg+;CA FRBPLUS;NA
Kontor;Campusadministration Nørre;CA NØRRE;NA
Kontor;Campusadministration Søndre;CA SØNDRE;NA
Kontor;Digital Transformation;DT;IT
Kontor;Digitale Løsninger Administration;DLA;IT
Kontor;Digitale Løsninger Uddannelse;DLU;IT
Kontor;Digitale Løsninger, Forskning, Undervisning og Produktion;DLF;IT
Kontor;Digitalisering, Eksamen og Lokaleplanlægning;DEL;Uddannelsesadministration
Kontor;Eksterne Samarbejder og Ledelsesbetjening;EP;Innovationsadministration
Kontor;Engagement;Eng.;Kommunikation
Kontor;Fora, Policy og Internationale Samarbejder;FPI;Stabe
Kontor;Forskning Nørre;FORSK NØRRE;Forskningsadministration
Kontor;Forsknings og IP jura;LEGAL;Innovationsadministration
Kontor;Forskningsfinansiering Frederiksberg+;FF FRBPLUS;Forskningsadministration
Kontor;Forskningsfinansiering Søndre;FF SØNDRE;Forskningsadministration
Kontor;Forskningsservice og Udvikling;FS;Forskningsadministration
Kontor;HR Administration;HR ADM;HR
Kontor;HR Frederiksberg+;HR FRBPLUS;HR
Kontor;HR Nørre;HR NØRRE;HR
Kontor;HR Søndre;HR SØNDRE;HR
Kontor;HR Udvikling og Strategi;HR US;HR
Kontor;IT-support;IT supp.;IT
Kontor;Infrastruktur og Platforme;IP;IT
Kontor;International Uddannelse;IU;Uddannelsesadministration
Kontor;It-sikkerhed og Support;ISS;IT
Kontor;Jura og Forkontor;JUFOR;Stabe
Kontor;KU Bygninger;KU BYG;Bygningsservice
Kontor;KU Forskning og Informationssikkerhed;KU F&I;Forskningsadministration
Kontor;KU HR;KU HR;HR
Kontor;KU IT;KU IT;IT
Kontor;KU Innovation og Erhvervssamarbejde;KU I&E;Innovationsadministration
Kontor;KU Kommunikation;KU KOM;Kommunikation
Kontor;KU Lighthouse;LI;Innovationsadministration
Kontor;KU Uddannelse;KU UDD;Uddannelsesadministration
Kontor;KU Økonomi;KU ØKO;Økonomi
Kontor;Kommunikation Frederiksberg+;KOMMIT FRBPLUS;Kommunikation
Kontor;Kommunikation Nørre;KOMMIT NØRRE;Kommunikation
Kontor;Kommunikation Søndre;KOMMIT SØNDRE;Kommunikation
Kontor;Koncern Bygningsøkonomi;KON BYGØKO;Økonomi
Kontor;Koncern Indkøb;KON IND;Økonomi
Kontor;Koncern Regnskab;KON REGN;Økonomi
Kontor;Koncern Økonomi;KON ØKO;Økonomi
Kontor;Markedsføring af Uddannelser;KOM MARK;Kommunikation
Kontor;Medier;KOM MEDIER;Kommunikation
Kontor;Organisatorisk Kommunikation;KOM ORG;Kommunikation
Kontor;Ph.d. administration;PhD ADM;Forskningsadministration
Kontor;Plan;PLAN;Bygningsservice
Kontor;Presse;KOM PRESSE;Kommunikation
Kontor;Rammer og Styring;RS;IT
Kontor;Rektoratets stab;KU REKSTAB;Stabe
Kontor;Rådgivning og Medietræning;KOM RÅDGIV;Kommunikation
Kontor;Strategi, Udvikling og Styring;SUS;Stabe
Kontor;Studieliv og Studiestøtte;SoS;Uddannelsesadministration
Kontor;Uddannelse Frederiksberg+;UDD FRBPLUS;Uddannelsesadministration
Kontor;Uddannelse Nørre;UDD NØRRE;Uddannelsesadministration
Kontor;Uddannelse Søndre;UDD SØNDRE;Uddannelsesadministration
Kontor;Uddannelsesstrategi og Analyse;UA;Uddannelsesadministration
Kontor;Uddannelsesvalg og Optagelse;UO;Uddannelsesadministration
Kontor;Videreuddannelse og Livslang Læring;VLL;Uddannelsesadministration
Kontor;Web og Visuel Identitet;KOM WEB;Kommunikation
Kontor;Økonomi Frederiksberg+;ØKO FRBPLUS;Økonomi
Kontor;Økonomi Nørre;ØKO NØRRE;Økonomi
Kontor;Økonomi Søndre;ØKO SØNDRE;Økonomi
